t,ax,ay,az,gx,gy,gz,gps_x,gps_y,gps_z,baro,mag_x,mag_y,mag_z,lidar,uwb0,uwb1,uwb2,uwb3,flow_x,flow_y,gpsv_x,gpsv_y,gpsv_z,dvl_x,dvl_y,dvl_z,att_w,att_x,att_y,att_z,tp_x,tp_y,tp_z,tv_x,tv_y,tv_z,tq_w,tq_x,tq_y,tq_z
0.12000,3.27471,3.27056,8.74043,0.07209,0.03547,0.18972,,,,,,,,22.12682,,,,,,,,,,,,,,,,,39.98737,1.00520,20.35470,-0.21053,8.37493,2.95389,0.67479,0.18113,-0.05492,0.71333
0.12500,3.27351,3.22492,8.87134,0.07608,0.03912,0.19730,,,,,-0.30412,-0.55774,-0.73151,,,,,,,,,,,,,,,,,,39.98629,1.04708,20.36947,-0.21930,8.37471,2.95364,0.67442,0.18115,-0.05482,0.71368
0.13000,3.32702,3.26857,8.71397,0.07165,0.04213,0.19526,,,,,,,,,,,,,,,,,,,,,,,,,39.98517,1.08895,20.38424,-0.22807,8.37448,2.95338,0.67405,0.18117,-0.05471,0.71403
0.13500,3.20699,3.28168,8.82011,0.06654,0.04231,0.19343,,,,,,,,,,,,,8.99467,0.11067,,,,,,,,,,,39.98401,1.13082,20.39900,-0.23684,8.37423,2.95311,0.67368,0.18119,-0.05461,0.71439
0.14000,3.36737,3.42590,8.78056,0.06889,0.03494,0.18915,,,,,,,,,,,,,,,,,,,,,,,,,39.98281,1.17269,20.41377,-0.24561,8.37398,2.95284,0.67330,0.18121,-0.05450,0.71474
0.14500,3.27397,3.27749,8.79413,0.06613,0.04032,0.18953,,,,,,,,,,,,,,,,,,,,,,,,,39.98156,1.21456,20.42853,-0.25438,8.37372,2.95255,0.67293,0.18122,-0.05440,0.71509
0.15000,3.24431,3.35114,8.70688,0.06277,0.03505,0.19683,,,,20.80450,-0.33349,-0.60514,-0.75853,,,,,,,,,,,8.86223,0.02219,0.02821,0.67704,0.17519,-0.04496,0.71337,39.98026,1.25643,20.44329,-0.26315,8.37345,2.95225,0.67256,0.18124,-0.05429,0.71545
0.15500,3.31856,3.29273,8.75834,0.07751,0.03734,0.19739,,,,,,,,,,,,,,,,,,,,,,,,,39.97892,1.29830,20.45805,-0.27191,8.37317,2.95194,0.67219,0.18126,-0.05418,0.71580
0.16000,3.30774,3.41264,8.78479,0.07558,0.04328,0.19834,,,,,,,,22.30969,,,,,,,,,,,,,,,,,39.97754,1.34016,20.47281,-0.28068,8.37288,2.95162,0.67182,0.18128,-0.05408,0.71615
0.16500,3.35171,3.34458,8.83942,0.06821,0.03140,0.19209,,,,,,,,,,,,,,,,,,,,,,,,,39.97612,1.38203,20.48757,-0.28945,8.37258,2.95130,0.67145,0.18129,-0.05397,0.71651
0.17000,3.25144,3.29297,8.65865,0.08029,0.03567,0.19080,,,,,,,,,,,,,8.79134,0.01596,,,,,,,,,,,39.97465,1.42389,20.50232,-0.29822,8.37227,2.95096,0.67107,0.18131,-0.05386,0.71686
0.17500,3.33251,3.36456,8.69745,0.07516,0.03690,0.19644,,,,,-0.29152,-0.59951,-0.76705,,,,,,,,,,,,,,,,,,39.97314,1.46575,20.51708,-0.30699,8.37195,2.95061,0.67070,0.18132,-0.05376,0.71721
0.18000,3.27085,3.34301,8.70489,0.07256,0.03693,0.19099,,,,,,,,,,,,,,,,,,,,,,,,,39.97158,1.50761,20.53183,-0.31575,8.37163,2.95025,0.67033,0.18134,-0.05365,0.71756
0.18500,3.28051,3.33393,8.76317,0.06573,0.04040,0.19817,,,,,,,,,,,,,,,,,,,,,,,,,39.96998,1.54946,20.54658,-0.32452,8.37129,2.94988,0.66996,0.18135,-0.05354,0.71792
0.19000,3.23739,3.25739,8.79273,0.06985,0.04337,0.19340,,,,,,,,,,,,,,,,,,,,,,,,,39.96833,1.59132,20.56133,-0.33329,8.37095,2.94951,0.66958,0.18137,-0.05343,0.71827
0.19500,3.21442,3.25916,8.85738,0.07330,0.04134,0.19481,,,,,,,,,,,,,,,,,,,,,,,,,39.96665,1.63317,20.57608,-0.34205,8.37059,2.94912,0.66921,0.18138,-0.05332,0.71862
0.20000,3.23229,3.23613,8.88146,0.06915,0.03679,0.19316,40.79746,1.82789,20.69254,22.19879,-0.32380,-0.56255,-0.75224,22.08352,112.62134,56.45373,56.87068,104.52270,8.70390,0.23891,-0.29134,8.35503,2.83356,8.89316,-0.04139,0.00527,0.66979,0.18910,-0.05127,0.71624,39.96491,1.67503,20.59082,-0.35082,8.37023,2.94872,0.66884,0.18139,-0.05321,0.71897
0.20500,3.31737,3.35350,8.80121,0.07188,0.03948,0.18815,,,,,,,,,,,,,,,,,,,,,,,,,39.96314,1.71688,20.60556,-0.35958,8.36986,2.94831,0.66847,0.18141,-0.05310,0.71932
0.21000,3.26300,3.34431,8.73540,0.07698,0.04362,0.19656,,,,,,,,,,,,,,,,,,,,,,,,,39.96132,1.75872,20.62030,-0.36835,8.36948,2.94789,0.66809,0.18142,-0.05299,0.71967
0.21500,3.25526,3.38362,8.88654,0.07393,0.04688,0.19878,,,,,,,,,,,,,,,,,,,,,,,,,39.95945,1.80057,20.63504,-0.37711,8.36909,2.94746,0.66772,0.18143,-0.05288,0.72002
0.22000,3.25681,3.25305,8.76996,0.06793,0.04401,0.19442,,,,,,,,,,,,,,,,,,,,,,,,,39.95755,1.84242,20.64978,-0.38587,8.36869,2.94702,0.66735,0.18144,-0.05277,0.72038
0.22500,3.31013,3.37202,8.69746,0.07401,0.04182,0.19919,,,,,-0.31451,-0.58987,-0.76679,,,,,,,,,,,,,,,,,,39.95559,1.88426,20.66451,-0.39464,8.36828,2.94658,0.66698,0.18145,-0.05266,0.72073
0.23000,3.41331,3.25686,8.74254,0.07078,0.05139,0.19603,,,,,,,,,,,,,,,,,,,,,,,,,39.95360,1.92610,20.67924,-0.40340,8.36786,2.94612,0.66660,0.18146,-0.05255,0.72108
0.23500,3.32701,3.33422,8.80164,0.07349,0.04039,0.18457,,,,,,,,,,,,,8.99907,-0.12710,,,,,,,,,,,39.95156,1.96794,20.69397,-0.41216,8.36744,2.94565,0.66623,0.18147,-0.05243,0.72143
0.24000,3.42864,3.23420,8.71087,0.06869,0.03432,0.19311,,,,,,,,22.01013,,,,,,,,,,,,,,,,,39.94948,2.00977,20.70870,-0.42093,8.36700,2.94517,0.66586,0.18148,-0.05232,0.72178
0.24500,3.29974,3.39046,8.74838,0.06077,0.04319,0.19834,,,,,,,,,,,,,,,,,,,,,,,,,39.94735,2.05161,20.72342,-0.42969,8.36655,2.94468,0.66548,0.18149,-0.05221,0.72213
0.25000,3.19048,3.34763,8.79481,0.07340,0.04283,0.19770,,,,20.21456,-0.31086,-0.57859,-0.76626,,,,,,,,,,,8.90908,-0.00785,-0.11921,0.66912,0.18115,-0.05222,0.71885,39.94518,2.09344,20.73815,-0.43845,8.36610,2.94418,0.66511,0.18150,-0.05209,0.72248
0.25500,3.23615,3.30921,8.74602,0.07151,0.04617,0.18928,,,,,,,,,,,,,,,,,,,,,,,,,39.94297,2.13527,20.75287,-0.44721,8.36564,2.94367,0.66474,0.18151,-0.05198,0.72283
0.26000,3.31554,3.30596,8.61127,0.07530,0.04501,0.19690,,,,,,,,,,,,,,,,,,,,,,,,,39.94071,2.17709,20.76758,-0.45597,8.36516,2.94315,0.66436,0.18152,-0.05187,0.72318
0.26500,3.31628,3.19030,8.72684,0.06150,0.04237,0.19287,,,,,,,,,,,,,,,,,,,,,,,,,39.93841,2.21892,20.78230,-0.46473,8.36468,2.94262,0.66399,0.18152,-0.05175,0.72353
0.27000,3.37137,3.22431,8.66673,0.06980,0.04410,0.19421,,,,,,,,,,,,,8.82965,0.03812,,,,,,,,,,,39.93606,2.26074,20.79701,-0.47349,8.36419,2.94208,0.66361,0.18153,-0.05164,0.72388
0.27500,3.23754,3.35322,8.78440,0.06988,0.04820,0.19147,,,,,-0.31232,-0.55034,-0.79267,,,,,,,,,,,,,,,,,,39.93367,2.30256,20.81172,-0.48225,8.36369,2.94153,0.66324,0.18154,-0.05152,0.72423
0.28000,3.22887,3.30800,8.80696,0.06382,0.04005,0.19271,,,,,,,,22.31350,,,,,,,,,,,,,,,,,39.93124,2.34438,20.82643,-0.49101,8.36318,2.94097,0.66287,0.18154,-0.05141,0.72457
0.28500,3.20706,3.23815,8.72266,0.07007,0.04632,0.20066,,,,,,,,,,,,,,,,,,,,,,,,,39.92876,2.38619,20.84113,-0.49976,8.36266,2.94040,0.66249,0.18155,-0.05129,0.72492
0.29000,3.35224,3.22002,8.71884,0.07476,0.04793,0.19290,,,,,,,,,,,,,,,,,,,,,,,,,39.92624,2.42800,20.85583,-0.50852,8.36213,2.93982,0.66212,0.18155,-0.05118,0.72527
0.29500,3.25092,3.25989,8.81639,0.07321,0.04306,0.19047,,,,,,,,,,,,,,,,,,,,,,,,,39.92368,2.46981,20.87053,-0.51728,8.36160,2.93924,0.66174,0.18156,-0.05106,0.72562
0.30000,3.14883,3.28550,8.70085,0.07804,0.03946,0.18627,,,,21.05030,-0.29354,-0.55556,-0.75904,,112.73012,57.01445,56.09341,103.92734,9.18498,-0.07741,,,,8.92798,-0.16750,0.08615,0.66222,0.17590,-0.05093,0.72659,39.92107,2.51162,20.88522,-0.52603,8.36105,2.93864,0.66137,0.18156,-0.05094,0.72597
0.30500,3.22666,3.23070,8.65067,0.06639,0.04182,0.18799,,,,,,,,,,,,,,,,,,,,,,,,,39.91842,2.55342,20.89991,-0.53479,8.36049,2.93803,0.66100,0.18157,-0.05083,0.72632
0.31000,3.05162,3.31341,8.71609,0.07450,0.04807,0.19250,,,,,,,,,,,,,,,,,,,,,,,,,39.91572,2.59523,20.91460,-0.54354,8.35993,2.93741,0.66062,0.18157,-0.05071,0.72666
0.31500,3.11148,3.21875,8.72766,0.06687,0.04701,0.18528,,,,,,,,,,,,,,,,,,,,,,,,,39.91298,2.63702,20.92929,-0.55230,8.35936,2.93678,0.66025,0.18157,-0.05059,0.72701
0.32000,3.19908,3.36352,8.76319,0.07016,0.04954,0.19610,,,,,,,,22.74175,,,,,,,,,,,,,,,,,39.91020,2.67882,20.94397,-0.56105,8.35877,2.93614,0.65987,0.18157,-0.05047,0.72736
0.32500,3.27759,3.28015,8.67735,0.07197,0.05074,0.19542,,,,,-0.33462,-0.53441,-0.76304,,,,,,,,,,,,,,,,,,39.90737,2.72061,20.95865,-0.56980,8.35818,2.93549,0.65950,0.18158,-0.05035,0.72771
0.33000,3.18959,3.28991,8.81794,0.07576,0.05302,0.19337,,,,,,,,,,,,,,,,,,,,,,,,,39.90450,2.76240,20.97332,-0.57856,8.35758,2.93483,0.65912,0.18158,-0.05023,0.72806
0.33500,3.23736,3.29360,8.75510,0.06723,0.04605,0.19551,,,,,,,,,,,,,8.81016,-0.00659,,,,,,,,,,,39.90159,2.80419,20.98800,-0.58731,8.35697,2.93416,0.65875,0.18158,-0.05011,0.72840
0.34000,3.13839,3.28977,8.62025,0.07484,0.05176,0.19064,,,,,,,,,,,,,,,,,,,,,,,,,39.89863,2.84597,21.00267,-0.59606,8.35635,2.93348,0.65837,0.18158,-0.05000,0.72875
0.34500,3.24368,3.24027,8.58789,0.06072,0.04409,0.18648,,,,,,,,,,,,,,,,,,,,,,,,,39.89563,2.88775,21.01733,-0.60481,8.35572,2.93279,0.65800,0.18158,-0.04988,0.72910
0.35000,3.22864,3.27035,8.73955,0.06925,0.05434,0.19508,,,,20.90389,-0.31855,-0.57166,-0.76594,,,,,,,,,,,8.93563,-0.06837,0.02560,0.66093,0.18404,-0.04697,0.72601,39.89258,2.92953,21.03199,-0.61356,8.35508,2.93209,0.65762,0.18158,-0.04975,0.72944
0.35500,3.26946,3.26162,8.74154,0.06886,0.03958,0.19176,,,,,,,,,,,,,,,,,,,,,,,,,39.88949,2.97130,21.04665,-0.62231,8.35444,2.93138,0.65725,0.18158,-0.04963,0.72979
0.36000,3.17525,3.41236,8.63646,0.06724,0.04820,0.18973,,,,,,,,22.69020,,,,,,,,,,,,,,,,,39.88636,3.01307,21.06131,-0.63106,8.35378,2.93066,0.65687,0.18158,-0.04951,0.73014
0.36500,3.27348,3.28491,8.75127,0.07119,0.05712,0.18816,,,,,,,,,,,,,,,,,,,,,,,,,39.88318,3.05484,21.07596,-0.63980,8.35311,2.92993,0.65649,0.18158,-0.04939,0.73048
0.37000,3.32072,3.30031,8.75540,0.07275,0.05205,0.19328,,,,,,,,,,,,,8.98105,-0.13398,,,,,,,,,,,39.87996,3.09660,21.09061,-0.64855,8.35244,2.92919,0.65612,0.18157,-0.04927,0.73083
0.37500,3.25329,3.33822,8.68549,0.06750,0.04798,0.19746,,,,,-0.35082,-0.53951,-0.77767,,,,,,,,,,,,,,,,,,39.87669,3.13836,21.10525,-0.65730,8.35176,2.92844,0.65574,0.18157,-0.04915,0.73117
0.38000,3.19466,3.31686,8.71444,0.07238,0.04855,0.18916,,,,,,,,,,,,,,,,,,,,,,,,,39.87338,3.18012,21.11989,-0.66604,8.35106,2.92768,0.65537,0.18157,-0.04903,0.73152
0.38500,3.20346,3.25265,8.72506,0.07672,0.04806,0.19408,,,,,,,,,,,,,,,,,,,,,,,,,39.87003,3.22187,21.13453,-0.67479,8.35036,2.92691,0.65499,0.18156,-0.04890,0.73187
0.39000,3.17711,3.28628,8.64811,0.07058,0.05080,0.19315,,,,,,,,,,,,,,,,,,,,,,,,,39.86664,3.26362,21.14916,-0.68353,8.34965,2.92613,0.65462,0.18156,-0.04878,0.73221
0.39500,3.23291,3.33794,8.66253,0.06686,0.04836,0.19398,,,,,,,,,,,,,,,,,,,,,,,,,39.86320,3.30537,21.16379,-0.69228,8.34893,2.92534,0.65424,0.18156,-0.04866,0.73256
0.40000,3.22201,3.39055,8.68732,0.07673,0.05545,0.19543,41.05964,3.21214,22.25819,21.25179,-0.32938,-0.57012,-0.76375,22.83991,112.88949,58.36654,55.46315,103.61716,8.77704,-0.01554,-0.59669,8.37185,2.89759,8.78583,-0.04510,0.06689,0.65074,0.18040,-0.04814,0.73598,39.85971,3.34711,21.17841,-0.70102,8.34820,2.92454,0.65386,0.18155,-0.04853,0.73290
0.40500,3.24667,3.24692,8.62998,0.07586,0.04770,0.19043,,,,,,,,,,,,,,,,,,,,,,,,,39.85619,3.38885,21.19303,-0.70976,8.34746,2.92373,0.65349,0.18155,-0.04841,0.73325
0.41000,3.19246,3.44227,8.67708,0.07226,0.05275,0.18879,,,,,,,,,,,,,,,,,,,,,,,,,39.85262,3.43059,21.20765,-0.71850,8.34671,2.92291,0.65311,0.18154,-0.04828,0.73359
0.41500,3.24033,3.30489,8.63255,0.07804,0.04986,0.18900,,,,,,,,,,,,,,,,,,,,,,,,,39.84900,3.47232,21.22226,-0.72724,8.34596,2.92208,0.65273,0.18153,-0.04816,0.73394
0.42000,3.22538,3.34662,8.66432,0.06080,0.05643,0.19194,,,,,,,,,,,,,,,,,,,,,,,,,39.84534,3.51405,21.23687,-0.73598,8.34519,2.92124,0.65236,0.18153,-0.04803,0.73428
0.42500,3.35150,3.40298,8.56926,0.06881,0.05550,0.19689,,,,,-0.28770,-0.54811,-0.75191,,,,,,,,,,,,,,,,,,39.84164,3.55577,21.25148,-0.74472,8.34441,2.92039,0.65198,0.18152,-0.04791,0.73463
0.43000,3.28334,3.30154,8.68897,0.06546,0.04336,0.19274,,,,,,,,,,,,,,,,,,,,,,,,,39.83790,3.59749,21.26608,-0.75346,8.34363,2.91953,0.65161,0.18151,-0.04778,0.73497
0.43500,3.18666,3.16269,8.70187,0.07721,0.05387,0.18573,,,,,,,,,,,,,8.73484,-0.01306,,,,,,,,,,,39.83411,3.63921,21.28067,-0.76219,8.34284,2.91866,0.65123,0.18150,-0.04766,0.73531
0.44000,3.22743,3.32273,8.74984,0.06651,0.04179,0.18604,,,,,,,,22.82592,,,,,,,,,,,,,,,,,39.83028,3.68092,21.29526,-0.77093,8.34203,2.91778,0.65085,0.18150,-0.04753,0.73566
0.44500,3.05906,3.39225,8.75599,0.07601,0.05228,0.18631,,,,,,,,,,,,,,,,,,,,,,,,,39.82640,3.72263,21.30985,-0.77967,8.34122,2.91689,0.65047,0.18149,-0.04740,0.73600
0.45000,3.33860,3.24767,8.59199,0.06859,0.04904,0.19129,,,,22.20267,-0.35238,-0.57946,-0.76873,,,,,,,,,,,8.84438,0.04107,-0.06459,0.64722,0.18046,-0.06049,0.73816,39.82248,3.76433,21.32443,-0.78840,8.34040,2.91599,0.65010,0.18148,-0.04728,0.73635
0.45500,3.26768,3.32316,8.65959,0.07407,0.05411,0.20274,,,,,,,,,,,,,,,,,,,,,,,,,39.81851,3.80603,21.33901,-0.79713,8.33957,2.91508,0.64972,0.18147,-0.04715,0.73669
0.46000,3.19199,3.18499,8.76147,0.06702,0.05659,0.19453,,,,,,,,,,,,,,,,,,,,,,,,,39.81451,3.84773,21.35358,-0.80587,8.33873,2.91416,0.64934,0.18146,-0.04702,0.73703
0.46500,3.22147,3.36175,8.60496,0.06598,0.04714,0.19637,,,,,,,,,,,,,,,,,,,,,,,,,39.81046,3.88942,21.36815,-0.81460,8.33788,2.91323,0.64897,0.18145,-0.04689,0.73737
0.47000,3.21387,3.33329,8.65952,0.06633,0.05089,0.19271,,,,,,,,,,,,,9.10264,-0.19934,,,,,,,,,,,39.80636,3.93111,21.38271,-0.82333,8.33702,2.91229,0.64859,0.18143,-0.04676,0.73772
0.47500,3.15047,3.34288,8.63592,0.06698,0.05412,0.18626,,,,,-0.33701,-0.57820,-0.75687,,,,,,,,,,,,,,,,,,39.80222,3.97279,21.39727,-0.83206,8.33616,2.91134,0.64821,0.18142,-0.04663,0.73806
0.48000,3.06112,3.21104,8.74834,0.06822,0.05583,0.19067,,,,,,,,22.94090,,,,,,,,,,,,,,,,,39.79804,4.01447,21.41183,-0.84079,8.33528,2.91038,0.64783,0.18141,-0.04650,0.73840
0.48500,3.13078,3.31667,8.68628,0.07212,0.04671,0.18886,,,,,,,,,,,,,,,,,,,,,,,,,39.79381,4.05614,21.42638,-0.84952,8.33440,2.90942,0.64746,0.18140,-0.04638,0.73875
0.49000,3.18246,3.26879,8.69704,0.07141,0.05663,0.19119,,,,,,,,,,,,,,,,,,,,,,,,,39.78955,4.09781,21.44092,-0.85824,8.33350,2.90844,0.64708,0.18138,-0.04625,0.73909
0.49500,3.28029,3.39218,8.57190,0.06751,0.05755,0.19000,,,,,,,,,,,,,,,,,,,,,,,,,39.78523,4.13948,21.45546,-0.86697,8.33260,2.90745,0.64670,0.18137,-0.04612,0.73943
0.50000,3.25385,3.36123,8.67097,0.06379,0.06193,0.19304,,,,21.97021,-0.33719,-0.56008,-0.75559,,113.29568,59.54185,55.35436,102.58143,8.98461,-0.05421,,,,8.93102,-0.02315,-0.01262,0.64697,0.18480,-0.04722,0.73827,39.78088,4.18114,21.47000,-0.87570,8.33169,2.90645,0.64632,0.18136,-0.04598,0.73977
0.50500,3.16549,3.23661,8.63544,0.07102,0.04534,0.18875,,,,,,,,,,,,,,,,,,,,,,,,,39.77648,4.22279,21.48453,-0.88442,8.33077,2.90544,0.64594,0.18134,-0.04585,0.74011
0.51000,3.20101,3.21880,8.58233,0.07057,0.05319,0.19219,,,,,,,,,,,,,,,,,,,,,,,,,39.77203,4.26445,21.49905,-0.89314,8.32983,2.90442,0.64557,0.18133,-0.04572,0.74046
0.51500,3.16781,3.27146,8.55629,0.06658,0.04999,0.19393,,,,,,,,,,,,,,,,,,,,,,,,,39.76754,4.30609,21.51357,-0.90187,8.32889,2.90339,0.64519,0.18131,-0.04559,0.74080
0.52000,3.24224,3.34746,8.58859,0.07222,0.05664,0.19612,,,,,,,,22.91931,,,,,,,,,,,,,,,,,39.76301,4.34774,21.52808,-0.91059,8.32795,2.90235,0.64481,0.18129,-0.04546,0.74114
0.52500,3.10488,3.21898,8.68807,0.07186,0.05087,0.19492,,,,,-0.35740,-0.59239,-0.78116,,,,,,,,,,,,,,,,,,39.75844,4.38937,21.54259,-0.91931,8.32699,2.90130,0.64443,0.18128,-0.04533,0.74148
0.53000,3.21728,3.29224,8.63891,0.06342,0.05276,0.19465,,,,,,,,,,,,,,,,,,,,,,,,,39.75382,4.43100,21.55710,-0.92803,8.32602,2.90025,0.64405,0.18126,-0.04519,0.74182
0.53500,3.08202,3.35496,8.66616,0.07006,0.05497,0.19060,,,,,,,,,,,,,8.93286,-0.09323,,,,,,,,,,,39.74916,4.47263,21.57160,-0.93675,8.32504,2.89918,0.64367,0.18124,-0.04506,0.74216
0.54000,3.18761,3.24767,8.60746,0.06894,0.06163,0.19780,,,,,,,,,,,,,,,,,,,,,,,,,39.74445,4.51426,21.58609,-0.94546,8.32406,2.89810,0.64330,0.18123,-0.04493,0.74250
0.54500,3.13881,3.34136,8.68294,0.06583,0.06183,0.18583,,,,,,,,,,,,,,,,,,,,,,,,,39.73970,4.55587,21.60058,-0.95418,8.32306,2.89701,0.64292,0.18121,-0.04480,0.74284
0.55000,3.13899,3.26008,8.70174,0.06655,0.05912,0.19017,,,,22.00246,-0.35789,-0.53700,-0.80049,,,,,,,,,,,8.89349,-0.01192,-0.05788,0.63433,0.18513,-0.04769,0.74905,39.73491,4.59749,21.61506,-0.96290,8.32206,2.89591,0.64254,0.18119,-0.04466,0.74318
0.55500,3.22086,3.28471,8.58427,0.06882,0.05084,0.19225,,,,,,,,,,,,,,,,,,,,,,,,,39.73007,4.63909,21.62954,-0.97161,8.32105,2.89480,0.64216,0.18117,-0.04453,0.74352
