t,pos,full
27.80,2.4352,14.8332
27.90,2.6081,15.3157
28.00,2.6755,15.5092
28.10,2.6801,15.6163
28.20,2.6845,15.7472
28.30,2.6313,15.0729
28.40,2.7390,14.6498
28.50,2.7768,14.5960
28.60,2.6747,14.2356
28.70,2.5754,14.3273
28.80,2.4498,14.4674
28.90,2.5613,14.7167
29.00,2.7777,14.9814
29.10,2.7629,15.4131
29.20,2.9250,15.8785
29.30,2.6032,15.5673
29.40,2.6130,16.2732
29.50,2.6240,16.5617
29.60,2.6378,16.5528
29.70,2.7060,16.5564
29.80,2.8439,17.1294
29.90,3.0021,17.2761
